@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
36,1,4,8,0,0,?
28,1,2,10,0,0,?
9,0,1,0,0,0,?
23,1,2,6,0,0,?
29,3,2,8,0,0,?
203,26,42,11,0,0,?
54,6,7,7,0,0,?
70,7,7,16,0,0,?
84,7,13,4,0,0,?
1826,200,401,1,0,0,?
61,8,5,14,0,0,?
35,0,1,39,0,0,?
39,3,3,6,0,0,?
2930,300,601,1,0,0,?
51,8,4,10,0,0,?
34,3,3,4,0,0,?
38,4,3,6,0,0,?
35,4,3,6,0,0,?
13,1,1,1,0,0,?
35,4,3,6,0,0,?
33,4,3,6,0,0,?
24,3,1,5,0,0,?
20,3,1,3,0,0,?
36,6,1,8,1,0,?
53,4,6,5,0,0,?
62,11,3,26,0,0,?
61,6,7,12,0,0,?
43,4,4,9,0,0,?
18,0,2,6,0,0,?
33,8,1,12,2,0,?
59,16,3,17,3,0,?
23,3,1,7,0,0,?
92,10,7,19,0,0,?
86,10,7,19,0,0,?
53,9,4,15,0,0,?
76,17,3,13,6,0,?
122,23,1,110,3,0,?
18,3,1,3,1,0,?
27,0,3,17,0,0,?
38,2,1,2,0,0,?
140,34,5,35,1,1,?
124,8,8,83,0,1,?
28,6,1,11,0,0,?
10,0,1,1,0,0,?
116,10,2,22,1,2,?
40,3,2,5,0,0,?
15,1,1,2,0,0,?
61,4,4,15,0,0,?
460,23,4,33,4,4,?
115,16,11,24,0,0,?
49,8,4,10,0,0,?
63,6,6,11,0,0,?
50,9,4,6,0,0,?
71,7,6,29,0,0,?
19,2,1,7,0,0,?
21,4,1,6,0,0,?
20,2,1,5,0,0,?
18,2,1,3,0,0,?
21,2,1,5,0,0,?
29,4,1,12,0,0,?
20,2,1,13,0,0,?
74,6,10,2,0,0,?
94,13,7,17,0,4,?
37,4,5,3,0,0,?
76,14,7,20,0,0,?
45,4,5,4,0,0,?
4,0,0,0,0,0,?
42,7,1,9,0,0,?
49,5,5,7,0,2,?
181,13,19,24,0,0,?
38,9,4,8,0,0,?
18,3,1,1,0,0,?
46,4,1,59,0,0,?
201,6,35,14,0,4,?
24,3,2,2,0,0,?
69,5,6,12,0,0,?
51,5,7,7,0,0,?
47,6,9,1,0,0,?
95,10,12,5,0,0,?
39,5,4,4,0,0,?
33,4,3,3,0,0,?
16,1,1,1,0,0,?
44,11,2,7,0,0,?
80,11,9,16,0,0,?
14,2,1,3,0,0,?
74,10,6,18,0,0,?
45,6,3,9,0,0,?
23,1,1,8,0,0,?
29,4,1,8,0,0,?
30,0,1,6,0,0,?
86,17,8,32,0,0,?
53,9,4,16,0,0,?
77,6,7,7,0,0,?
46,7,4,5,0,0,?
80,11,2,30,0,3,?
132,12,21,15,0,0,?
24,3,1,7,0,0,?
49,8,4,10,0,0,?
35,1,3,9,0,0,?
52,6,5,15,0,0,?
73,14,5,23,0,0,?
54,6,5,16,0,0,?
26,4,1,5,0,0,?
71,8,7,31,0,0,?
19,3,1,3,0,0,?
31,3,1,15,0,0,?
25,4,1,4,0,0,?
36,4,3,8,0,0,?
24,4,1,5,0,0,?
44,4,4,11,0,0,?
33,5,2,4,0,0,?
59,4,4,8,0,0,?
78,13,5,18,0,0,?
56,5,4,11,0,0,?
112,25,4,22,4,3,?
49,4,4,14,0,0,?
49,4,4,13,0,0,?
30,3,1,4,0,0,?
72,7,7,13,0,2,?
64,7,6,17,0,0,?
59,5,6,13,0,0,?
74,8,7,16,0,2,?
62,7,5,13,0,0,?
53,5,5,7,0,0,?
49,4,4,14,0,0,?
59,7,5,18,0,0,?
60,6,4,21,0,0,?
53,11,2,11,0,0,?
58,5,4,16,0,0,?
16,1,1,3,0,0,?
56,9,5,1,0,0,?
25,3,1,2,0,0,?
79,7,7,13,0,0,?
45,7,2,18,0,0,?
44,3,1,46,0,0,?
183,21,19,67,0,0,?
34,4,5,8,0,0,?
50,7,6,16,0,0,?
91,10,5,12,0,0,?
29,2,1,13,0,0,?
54,7,5,22,0,0,?
24,2,1,9,0,0,?
28,2,1,12,0,0,?
49,5,6,7,0,0,?
139,20,11,91,0,1,?
19,3,1,4,0,0,?
45,4,6,3,0,0,?
36,10,3,9,0,0,?
39,2,1,15,0,0,?
40,4,3,22,1,0,?
37,6,1,16,0,0,?
50,5,3,12,0,0,?
39,5,3,5,0,0,?
135,20,11,90,0,0,?
37,1,1,20,0,0,?
31,2,1,20,0,0,?
157,26,13,92,0,0,?
19,0,2,6,0,0,?
88,11,7,31,0,0,?
